case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
cardinality_10,cardinality_coverage,11.905530462697747,6.1654253532187218,15.576891299336296,1.931015263445262,0.76430721855297412,0.44529567733209757,0.32342700772011401
cardinality_11,cardinality_coverage,1.6174658798123946,1.9186779184012104,6.4983846936821834,0.84301062950690098,0.24890275907871637,0.66032044178985771,0.43645166044938072
cardinality_12,cardinality_coverage,13.53209400845858,3.4157622512477408,7.9761909676156382,3.9616615598803615,1.696560935338763,0.428773073392059,0.4575201996138466
cardinality_14,cardinality_coverage,1.804324261604084,8.1439251364497025,10.31232689780744,0.22155462278606711,0.17496771383262794,0.73319327448610327,0.43356490408663001
cardinality_15,cardinality_coverage,3.452346374010125,1.6278648119705246,8.5348762944646062,2.1207819891573627,0.40449870096525997,0.62661139764061002,0.44346094659926621
cardinality_16,cardinality_coverage,1.3734026095955261,6.2149051901295005,10.538317495664929,0.22098528739855294,0.13032465667887619,0.54813882286789872,0.31334084110109123
cardinality_17,cardinality_coverage,6.1994098185167523,4.0041372547795122,11.242781973224972,1.548251077336789,0.55141243806744955,0.5167716501274886,0.31266701772884647
cardinality_18,cardinality_coverage,5.0418210734348516,5.3301720874517651,9.5041387625057308,0.9459021192400624,0.53048689622725942,0.5165785441197408,0.33550315995889057
cardinality_19,cardinality_coverage,4.3867090941834315,2.170860785502013,8.019932657400263,2.0207233570571876,0.54697580161544956,0.4787934182580777,0.3759076168329345
cardinality_20,cardinality_coverage,5.000821596284597,4.009132733321108,10.991714026062452,1.2473574533268168,0.45496285514953805,0.58282325100697197,0.36826046665872397
cardinality_21,cardinality_coverage,5.4486273293956051,2.5655171561708321,6.3093367771575526,2.1237929811890108,0.86358162859873366,0.55370421201169351,0.33929875944435961
cardinality_23,cardinality_coverage,6.2855975545698044,5.24520026458665,9.6846753027125914,1.1983522530126203,0.64902512041981053,0.68297612945895947,0.40045920934627188
cardinality_24,cardinality_coverage,3.0573261163339724,5.1454956255763928,10.90747619092374,0.59417524351534046,0.28029638229951082,0.54337108203526796,0.41757734817860798
cardinality_25,cardinality_coverage,7.2375449063614052,6.471151824305486,9.906599307685056,1.1184322517634906,0.73057814105258823,0.53264023363965085,0.35949932088639502
cardinality_27,cardinality_coverage,9.6694293884757769,6.4426461942976205,10.67912917553501,1.5008474929190088,0.90545111212135432,0.43915477821261989,0.30261876161045698
cardinality_28,cardinality_coverage,4.013024319794904,3.046145947898097,9.4321611107060921,1.3174103895330336,0.42546180803038558,0.64869114066021993,0.3914928370416394
cardinality_29,cardinality_coverage,7.7230912054255967,4.6974661657743084,9.2553618751619986,1.6440972500655697,0.83444508270946649,0.4610505611941193,0.31254263037001589
cardinality_30,cardinality_coverage,7.3828950633040291,4.952842248836979,9.0089742244147075,1.4906380402157311,0.81950451620741305,0.45368693114072639,0.32133179779707949
cardinality_31,cardinality_coverage,3.8028524498509033,5.9692221832781289,9.8190296475072234,0.63707671336208893,0.38729412033258714,0.5187386993649008,0.32179890018690799
cardinality_32,cardinality_coverage,9.237734731163437,4.0366636174985775,8.6995817104099622,2.2884578965457214,1.0618596432181926,0.51321746146095504,0.33266604532512722
cardinality_4,cardinality_coverage,1.266882048036168,1.4324254363534632,2.5864382079373081,0.88443140975022039,0.48981724912210839,0.55868801829885706,0.55994282256733197
cardinality_6,cardinality_coverage,1.7332369577949034,1.6421733789750741,3.8516370698427473,1.0554530843001879,0.45000007175277995,0.52048139521918735,0.61479039626028287
cardinality_7,cardinality_coverage,3.4066795773020786,4.5902155614145217,11.504481925818002,0.74216113202585099,0.29611760001612186,0.72456932511730987,0.44636189021647221
cardinality_9,cardinality_coverage,6.0411546941705874,5.3218135847359536,6.3874538531091636,1.1351684154247437,0.94578447580172942,0.50766910268806542,0.375538488565341
chatgpt_1,original_pool,29.941092338416613,24.06046517245408,51.467905982931157,1.2444103687860133,0.58174296712880247,0.39393811203745338,0.40229929119330488
chatgpt_13,original_pool,6.9966593359076192,5.0658601919248962,13.518339263745949,1.381139445391814,0.51756796448152143,0.51477748288142511,0.39173916232314782
chatgpt_22,original_pool,3.9697692528933297,1.7192958061607544,9.4262705527776784,2.3089506986921342,0.42113890437014256,0.62800253138373952,0.49248318607676012
chatgpt_3,original_pool,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
chatgpt_5,original_pool,26.38996492023518,9.2303360090729907,29.062957034788585,2.8590470481567598,0.90802752413136034,0.43604406446289928,0.39135611644665103
common_exhaustive_1_0,common_five_exhaustive,29.941092338416613,24.06046517245408,51.467905982931157,1.2444103687860133,0.58174296712880247,0.39393811203745338,0.40229929119330488
common_exhaustive_1_1,common_five_exhaustive,6.0273422672754906,8.6970084515819419,53.203609993327902,0.69303626653129757,0.11328821987890221,0.59506914066161787,0.51265048560011683
common_exhaustive_1_2,common_five_exhaustive,3.31386186132297,2.3213726165662325,33.692881896684028,1.4275441338774921,0.098354954363494576,0.68942857418013193,0.61207582164926833
common_exhaustive_1_3,common_five_exhaustive,1.7419100078727441,1.6789992384288472,3.121272876134956,1.0374692066583464,0.55807680936558657,0.4955079187508627,0.37686872809094069
common_exhaustive_1_4,common_five_exhaustive,2.3308167548640495,2.1243912569323875,3.665448779700347,1.0971692466056087,0.63588850777901074,0.49542959771758183,0.45279635095536352
common_exhaustive_2_0,common_five_exhaustive,20.912280878980042,19.462979631391867,52.419473281944313,1.0744645103183788,0.39894107227100273,0.55279860776807777,0.44610963717272673
common_exhaustive_2_1,common_five_exhaustive,17.939738455240885,9.0646461365590749,42.662467808930998,1.9790886687663662,0.4205040021497623,0.49734578477821051,0.5063520008196285
common_exhaustive_2_2,common_five_exhaustive,12.271366286222085,6.398147608793451,27.30520906632508,1.9179561080079852,0.44941484448680136,0.41988986869455153,0.32215695475399292
common_exhaustive_2_3,common_five_exhaustive,24.198989755139941,5.3854210103864446,27.647503261582571,4.4934258080230354,0.87526853785620151,0.38409745436485182,0.50360141428278216
common_exhaustive_2_4,common_five_exhaustive,3.3097290218666711,6.3431052018696352,43.452383347410517,0.52178371894117814,0.076169102058331856,0.67959403147761921,0.5010097862739129
common_exhaustive_2_5,common_five_exhaustive,4.8287971572909578,6.2065245325252993,28.102019699360209,0.77801950705030498,0.17183096478296517,0.59067020840748752,0.36176946073518029
common_exhaustive_2_6,common_five_exhaustive,23.754409509763143,5.7220096094391417,28.43741880006209,4.1514102791049829,0.83532228001337716,0.45899173779913871,0.38903108564221878
common_exhaustive_2_7,common_five_exhaustive,1.9317435468300104,3.4477968223925202,18.366265246185467,0.56028346400340401,0.10517889842798708,0.64943724384739854,0.50947750869925035
common_exhaustive_2_8,common_five_exhaustive,2.4460079910259416,3.1310576914330461,18.680413327048775,0.78120821526812367,0.13093971467345333,0.75039379345563884,0.61730374205429805
common_exhaustive_2_9,common_five_exhaustive,2.4369863882443163,1.4457316437655916,3.3946652592217608,1.6856422827523343,0.7178870970043757,0.46743390600559043,0.35350448489390812
common_exhaustive_3_0,common_five_exhaustive,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
common_exhaustive_3_1,common_five_exhaustive,15.116390794159631,11.788972033937185,35.966048609498493,1.2822484225633695,0.42029612311004472,0.47118697722429942,0.44536323067983558
common_exhaustive_3_2,common_five_exhaustive,41.777051976020971,10.683717237362965,36.13743363665558,3.9103479667094501,1.1560602890639393,0.3839983830564368,0.42207208453138229
common_exhaustive_3_3,common_five_exhaustive,9.3557842499652946,4.3645115725998709,29.511576418539757,2.1436039507147417,0.31702082319424335,0.59579090062674267,0.58647911992162838
common_exhaustive_3_4,common_five_exhaustive,9.0606908457011066,6.785761968602853,29.72632600608155,1.3352503208370936,0.30480358870609936,0.67088588549728612,0.61958106668443735
common_exhaustive_3_5,common_five_exhaustive,10.733450293378334,3.100814244970032,19.463780838198769,3.4614941255476812,0.55145762185696889,0.41696944279523512,0.46520166936230101
common_exhaustive_3_6,common_five_exhaustive,3.2299504101685845,5.2665956754220193,30.06001281116972,0.61328999020031361,0.10745006765161448,0.53942783382076387,0.42438786562147762
common_exhaustive_3_7,common_five_exhaustive,11.463428804899603,9.1226283384886226,30.231397838326799,1.256592769052651,0.37918950576497934,0.58033091437941275,0.39978797010330891
common_exhaustive_3_8,common_five_exhaustive,8.5587333012570621,6.6585191851723522,19.968852670444026,1.285380887737958,0.42860415881203207,0.39953056158341471,0.36327105160945772
common_exhaustive_3_9,common_five_exhaustive,4.283244959242662,3.867464925602357,13.557745039869999,1.1075071245993389,0.31592605899039183,0.63699596865889674,0.47799820758737849
common_exhaustive_4_0,common_five_exhaustive,13.698375828084446,11.677396748301128,35.479189773956648,1.1730676043080697,0.38609607252473621,0.43843030971302588,0.42033428716691151
common_exhaustive_4_1,common_five_exhaustive,12.585798403502228,18.073441799744614,35.607745267802713,0.69636976415195417,0.35345676365761292,0.53848576958644112,0.43994208568665161
common_exhaustive_4_2,common_five_exhaustive,34.612927194078459,9.2614037654123624,27.900166110276786,3.7373305462983799,1.2405993232179748,0.4052794209480779,0.44018680282546752
common_exhaustive_4_3,common_five_exhaustive,9.3090301912525835,5.6401172413520033,23.08633505042604,1.650502958165653,0.40322685133519243,0.63965604924565522,0.54148732475734696
common_exhaustive_4_4,common_five_exhaustive,4.8522321108391502,6.9070254161769995,23.481292819665796,0.70250676933585599,0.20664245994050898,0.59987034158252228,0.45154166621194308
common_exhaustive_5_0,common_five_exhaustive,26.38996492023518,9.2303360090729907,29.062957034788585,2.8590470481567598,0.90802752413136034,0.43604406446289928,0.39135611644665103
delayed_open,stress,9.6864136058445727,3.8304579563778738,9.1530517084273058,2.5287873450526419,1.0582714830427753,0.56417303154671283,0.29771461669777749
double_cost,stress,9.3163314040168039,6.0186313837487484,9.1011608501145833,1.5479152667784846,1.0236420998865778,0.4557977935510712,0.33980977211256791
dumate_18,original_pool,8.1880215185115635,4.2017954104002353,14.39697552758363,1.9486959070507497,0.56873205784255654,0.44593636363624828,0.38138642501057413
remove_bj920045,leave_one_out,9.2556478444547867,6.5087580441559476,9.3916364807295682,1.4220297914999627,0.98552024063603694,0.4469560558744079,0.33466426752273981
remove_optical_leaders,joint_removal,2.4584838559983049,1.3791126793824653,5.7160804604789961,1.7826562635180447,0.43009958886972854,0.6509911316885435,0.35331033491094138
remove_sector_0,sector_removal,1.6417170222726951,1.5339326345417883,4.4683785330388375,1.0702667022682544,0.36740777669885605,0.59559070966735395,0.4898869795733769
